"(PDH-CSV 4.0) (","\\INSWAVE\process(W-Gear(Swing))\Working Set - Private","\\INSWAVE\process(W-BrowserUpdate)\Working Set - Private","\\INSWAVE\process(W-Browser#4)\Working Set - Private","\\INSWAVE\process(W-Browser#3)\Working Set - Private","\\INSWAVE\process(W-Browser#2)\Working Set - Private","\\INSWAVE\process(W-Browser#1)\Working Set - Private","\\INSWAVE\process(W-Browser)\Working Set - Private","\\INSWAVE\memory\Available Bytes"
"05/11/2017 17:22:07.546","5791744","7028736","268136448","8744960","39477248","1536000","23195648","649842688"
"05/11/2017 17:22:12.552","5791744","7028736","241868800","8744960","39477248","1536000","21766144","674144256"
"05/11/2017 17:22:17.570","5738496","7028736","252354560","8744960","39743488","1536000","22597632","663851008"
"05/11/2017 17:22:22.574","5791744","7028736","257765376","8744960","45240320","1536000","22597632","656986112"
"05/11/2017 17:22:27.587","5791744","7028736","248872960","8744960","47337472","1536000","22597632","662777856"
"05/11/2017 17:22:32.613","5791744","7028736","245350400","8744960","39477248","1536000","21864448","670937088"
"05/11/2017 17:22:37.629","5791744","7028736","247578624","8744960","45502464","1536000","21864448","665104384"
"05/11/2017 17:22:42.635","5791744","7028736","251801600","8744960","39215104","1536000","22777856","667996160"
"05/11/2017 17:22:47.651","5791744","7028736","253001728","8744960","47075328","1536000","22777856","663003136"
"05/11/2017 17:22:52.655","5791744","7028736","240250880","8744960","41844736","1536000","21934080","674496512"
"05/11/2017 17:22:57.668","5791744","7028736","246177792","8744960","39997440","1536000","21934080","678121472"
"05/11/2017 17:23:02.672","5791744","7028736","253665280","8744960","40001536","1536000","22810624","665870336"
"05/11/2017 17:23:07.685","5791744","7028736","254246912","8744960","42881024","1536000","22810624","665927680"
"05/11/2017 17:23:12.689","5791744","7028736","262533120","8744960","40001536","1536000","21966848","660611072"
"05/11/2017 17:23:17.706","5791744","7028736","258174976","8744960","39993344","1536000","21966848","667803648"
"05/11/2017 17:23:22.709","5791744","7028736","262492160","8744960","39739392","1536000","22810624","659947520"
"05/11/2017 17:23:27.722","5791744","7028736","266133504","8744960","40517632","1536000","22810624","660615168"
"05/11/2017 17:23:32.725","5791744","7028736","269324288","8744960","46034944","1536000","21966848","645890048"
"05/11/2017 17:23:37.740","5791744","7028736","249344000","8744960","39739392","1536000","21966848","675168256"
"05/11/2017 17:23:42.744","5853184","7028736","258813952","8744960","40534016","1536000","22818816","658513920"
"05/11/2017 17:23:47.758","5791744","7028736","255647744","8744960","42094592","1536000","22818816","666492928"
"05/11/2017 17:23:52.762","5791744","7028736","269418496","8744960","46563328","1536000","21987328","643362816"
"05/11/2017 17:23:57.775","5791744","7028736","266477568","8744960","39219200","1536000","21987328","657960960"
"05/11/2017 17:24:02.779","5947392","7028736","266399744","8744960","41054208","1536000","22831104","652931072"
"05/11/2017 17:24:07.793","5890048","7028736","263258112","8744960","42622976","1536000","22831104","657162240"
"05/11/2017 17:24:12.796","5890048","7028736","263028736","8744960","46555136","1536000","22831104","654716928"
"05/11/2017 17:24:17.809","5890048","7028736","276697088","8744960","39743488","1536000","21987328","644882432"
"05/11/2017 17:24:22.831","5738496","7028736","281575424","8744960","39743488","1536000","22433792","640630784"
"05/11/2017 17:24:27.848","5791744","7028736","275951616","8744960","46030848","1536000","22831104","641429504"
